id,name,artist_id,artists,artist_genre,album_type,album_id,album_name,album_release_date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
00D8cpnaejwQkzCqMSaDhr,the reason,6Br9D29UxvAkIOyIjDpPPZ,danni carlos,mpb,album,6D6WNOEgFPCNNhLKFyvaJ7,rock'n'road all night by danni carlos,2003,222586,20,0.554,0.475,5,-6.956,1,0.0235,0.0431,0.0,0.146,0.204,84.998,4.0
00MR3lqcuALQH6JuJhzAcp,new season,7iWDCqhLWP7tGRvYpOzj4J,the cabin tapes,calming instrumental,single,3fGMi62FQUhFEn8muqHqSj,new season,2022,120946,35,0.62,0.112,6,-9.427,1,0.0765,0.905,0.599,0.102,0.146,73.957,4.0
01Q3OyB05mLgH01fpdAMPP,wait,63MQldklfxkjYDoUE4Tppz,m83,"french shoegaze,french synthpop,indietronica,metropopolis,neo-synthpop",album,6EB14IXV5oyOiItGBv7mtG,"hurry up, we're dreaming",2011,343253,60,0.426,0.228,2,-10.552,1,0.0322,0.198,0.13,0.0832,0.0822,147.994,4.0
02SlwZAAwRePeJYMdvmA0h,high hopes,38SWPOPO1YqxUPnT4AAoID,the mayries,"acoustic cover,acoustic pop,neo mellow,viral pop",album,2yENbnhh873NzrwFmxYMeO,#acoustic #2,2019,216116,42,0.629,0.237,0,-12.297,1,0.0372,0.863,0.0,0.148,0.343,109.867,4.0
02WnYQ2rhtmRy4BrNfEhYC,cry me a river,7Al1laWK9BY9A2YAMFhTkt,brian chartrand,guitar case,album,0tfjRGeGUCnpphKKjufPqg,sleeping with giants,2008,252827,10,0.696,0.238,6,-10.611,0,0.176,0.916,0.0,0.116,0.477,76.983,4.0
02uPJ71h5oTJpZsOUxMSRs,pathways,3CBHXhdUqx63xJe4C4vzNg,andrew gialanella,"",single,42puLuMurrQ2EavD1zBE6e,pathways,2022,137019,31,0.52,0.182,11,-18.357,1,0.0403,0.883,0.902,0.101,0.198,78.12,4.0
02zHAnnS0XhFyJxhCC449I,un camino solitario,4qxGMBS25xDymfWz3kkKOE,xavier suarez,"",single,0Tl5HcLyyuutRQxBOOpcCD,un camino solitario,2020,189238,26,0.62,0.132,2,-17.312,0,0.0496,0.95,0.912,0.117,0.46,92.914,4.0
03TkiD6vBTFfPwjA7qJCD7,million reasons,0NxhAEPOSeCg6vypFr7yjU,madilyn bailey,"post-teen pop,viral pop",single,5f6JWum3oeaAXXN9dBuiow,million reasons,2017,204231,49,0.602,0.319,1,-7.474,1,0.0346,0.87,0.0,0.111,0.287,129.751,4.0
03yc0G2OoH1Eeyu7Piy8fK,i'm yours,4phGZZrJZRo4ElhRtViYdl,jason mraz,"acoustic pop,neo mellow,pop,pop rock",single,0hmfkAEc0WQcv1dplyLYte,i'm yours,2008,243494,78,0.693,0.43,11,-9.395,1,0.0442,0.565,0.0,0.0928,0.731,151.001,4.0
045sp2JToyTaaKyXkGejPy,fake plastic trees,4Z8W4fKeB5YxbusRsdQVPb,radiohead,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",album,500FEaUzn8lN9zWFyZG5C2,the bends,1995,290707,69,0.454,0.229,2,-12.592,1,0.0297,0.167,0.102,0.202,0.134,73.552,4.0
